chorus_id,text_len,rest_chorus,model_tone,model_theme,annotation_success,human_tone,human_theme,ambiguity_flag
88,668,False,T2,TH2,True,,,
89,673,False,T5,TH3,True,,,
90,548,False,T5,TH1,True,,,
91,601,False,T2,TH2,True,,,
92,571,False,T3,TH3,True,,,
93,547,False,T1,TH1,True,,,
94,488,False,T3,TH3,True,,,
95,639,False,T3,TH3,True,,,
96,588,False,T3,TH3,True,,,
97,701,False,T5,TH3,True,,,
98,568,False,T3,TH3,True,,,
99,715,False,T3,TH3,True,,,
100,718,False,T3,TH3,True,,,
101,543,False,T2,TH2,True,,,
102,427,False,T1,TH1,True,,,
103,767,False,T3,TH3,True,,,
104,308,False,T3,TH3,True,,,
105,657,False,T1,TH1,True,,,
106,468,False,T1,TH1,True,,,
107,552,False,T1,TH6,True,,,
108,593,False,T1,TH5,True,,,
109,567,False,T2,TH2,True,,,
110,733,False,T5,TH1,True,,,
111,501,False,T2,TH2,True,,,
112,490,False,T1,TH1,True,,,
113,525,False,T5,TH1,True,,,
114,571,False,T2,TH2,True,,,
115,637,False,T3,TH5,True,,,
116,483,False,T2,TH2,True,,,
117,487,False,T2,TH2,True,,,
118,387,False,T2,TH2,True,,,
119,491,False,T1,TH1,True,,,
120,505,False,T5,TH1,True,,,
121,558,False,T2,TH2,True,,,
122,465,False,T1,TH6,True,,,
123,582,False,T1,TH1,True,,,
124,449,False,T2,TH2,True,,,
125,491,False,T2,TH2,True,,,
126,540,False,T2,TH2,True,,,
127,460,False,T3,TH3,True,,,
128,269,False,T5,TH3,True,,,
129,347,False,T2,TH2,True,,,
130,265,False,T1,TH1,True,,,
131,251,False,T3,TH3,True,,,
132,288,False,T1,TH1,True,,,
133,402,False,T5,TH2,True,,,
134,303,False,T5,TH4,True,,,
135,274,False,T2,TH2,True,,,
136,226,False,T3,TH4,True,,,
137,447,False,T4,TH4,True,,,
138,178,True,T2,TH4,True,,,
139,290,False,T3,TH1,True,,,
140,414,False,T1,TH1,True,,,
141,268,False,T1,TH1,True,,,
142,278,False,T2,TH2,True,,,
143,268,False,T3,TH5,True,,,
144,366,False,T2,TH2,True,,,
145,308,False,T2,TH2,True,,,
146,338,False,T2,TH2,True,,,
147,222,False,T2,TH2,True,,,
148,320,False,T1,TH4,True,,,
149,344,False,T3,TH3,True,,,
150,382,False,T2,TH1,True,,,
151,355,False,T1,TH4,True,,,
152,379,False,T5,TH1,True,,,
153,350,False,T3,TH1,True,,,
154,276,False,T2,TH2,True,,,
155,402,False,T5,TH1,True,,,
156,331,False,T2,TH2,True,,,
157,483,False,T1,TH1,True,,,
158,355,False,T2,TH2,True,,,
159,348,False,T5,TH1,True,,,
160,317,False,T2,TH2,True,,,
161,536,False,T2,TH2,True,,,
162,504,False,T2,TH2,True,,,
163,445,False,T2,TH2,True,,,
164,475,False,T3,TH3,True,,,
165,418,False,T2,TH2,True,,,
166,364,False,T3,TH4,True,,,
167,566,False,T5,TH1,True,,,
168,458,False,T1,TH3,True,,,
169,486,False,T5,TH1,True,,,
170,495,False,T1,TH1,True,,,
171,400,False,T2,TH2,True,,,
172,362,False,T2,TH2,True,,,
173,503,False,T5,TH1,True,,,
174,518,False,T5,TH1,True,,,
175,528,False,T2,TH2,True,,,
176,525,False,T1,TH1,True,,,
177,397,False,T3,TH1,True,,,
178,356,False,T3,TH1,True,,,
179,490,False,T1,TH1,True,,,
180,388,False,T2,TH2,True,,,
181,479,False,T2,TH2,True,,,
182,387,False,T1,TH1,True,,,
183,522,False,T1,TH1,True,,,
184,426,False,T1,TH1,True,,,
185,465,False,T1,TH1,True,,,
186,385,False,T5,TH1,True,,,
187,362,False,T1,TH1,True,,,
188,321,False,T1,TH1,True,,,
189,401,False,T3,TH4,True,,,
190,442,False,T1,TH1,True,,,
191,517,False,T1,TH1,True,,,
192,572,False,T1,TH1,True,,,
193,437,False,T1,TH1,True,,,
194,507,False,T1,TH1,True,,,
195,508,False,T2,TH2,True,,,
196,472,False,T1,TH1,True,,,
197,331,False,T2,TH2,True,,,
198,403,False,T1,TH1,True,,,
199,477,False,T1,TH1,True,,,
200,498,False,T1,TH1,True,,,
201,476,False,T1,TH1,True,,,
202,307,False,T1,TH4,True,,,
203,492,False,T1,TH1,True,,,
204,398,False,T5,TH1,True,,,
205,367,False,T2,TH2,True,,,
206,504,False,T2,TH2,True,,,
207,529,False,T4,TH4,True,,,
208,609,False,T2,TH4,True,,,
209,598,False,T5,TH1,True,,,
210,599,False,T2,TH2,True,,,
211,728,False,T5,TH1,True,,,
212,753,False,T5,TH1,True,,,
213,461,False,T2,TH2,True,,,
214,475,False,T2,TH2,True,,,
215,360,False,T2,TH2,True,,,
216-A,330,False,T3,TH5,True,,,
216-B,744,False,T5,TH1,True,,,
216-C,775,False,T1,TH1,True,,,
217,732,False,T2,TH2,True,,,
218,755,False,T2,TH2,True,,,
219,931,False,T1,TH1,True,,,
220,858,False,T2,TH2,True,,,
221,472,False,T2,TH2,True,,,
222,509,False,T4,TH4,True,,,
223,622,False,T2,TH2,True,,,
224,594,False,T1,TH4,True,,,
225,645,False,T1,TH1,True,,,
226,682,False,T1,TH1,True,,,
227,699,False,T5,TH5,True,,,
228,767,False,T1,TH1,True,,,
229,733,False,T1,TH1,True,,,
230,859,False,T5,TH1,True,,,
231,516,False,T1,TH1,True,,,
232,966,False,T1,TH1,True,,,
233,936,False,T1,TH1,True,,,
234,265,False,T1,TH1,True,,,
235,706,False,T5,TH1,True,,,
236,854,False,T1,TH1,True,,,
237,953,False,T1,TH1,True,,,
238,701,False,T2,TH2,True,,,
239,773,False,T2,TH2,True,,,
240,663,False,T2,TH2,True,,,
241,681,False,T2,TH2,True,,,
242,565,False,T5,TH1,True,,,
